 Example 1 - Column Test                                                 

 Program SWMS_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = sec  , M = -    


 Time  ***      0.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1     0.0    61.0 0.350 0.350
    3     0.0    60.8 0.077 0.077
    5     0.0    60.5 0.077 0.077
    7     0.0    60.2 0.077 0.077
    9     0.0    60.0 0.077 0.077
   11     0.0    59.5 0.077 0.077
   13     0.0    59.0 0.077 0.077
   15     0.0    58.0 0.077 0.077
   17     0.0    57.0 0.077 0.077
   19     0.0    56.0 0.077 0.077
   21     0.0    55.0 0.077 0.077
   23     0.0    54.0 0.077 0.077
   25     0.0    53.0 0.077 0.077
   27     0.0    52.0 0.077 0.077
   29     0.0    51.0 0.077 0.077
   31     0.0    50.0 0.077 0.077
   33     0.0    49.0 0.077 0.077
   35     0.0    48.0 0.077 0.077
   37     0.0    47.0 0.077 0.077
   39     0.0    46.0 0.077 0.077
   41     0.0    45.0 0.077 0.077
   43     0.0    44.0 0.077 0.077
   45     0.0    43.0 0.077 0.077
   47     0.0    42.0 0.077 0.077
   49     0.0    41.0 0.077 0.077
   51     0.0    40.0 0.077 0.077
   53     0.0    39.0 0.077 0.077
   55     0.0    38.0 0.077 0.077
   57     0.0    37.0 0.077 0.077
   59     0.0    36.0 0.077 0.077
   61     0.0    35.0 0.077 0.077
   63     0.0    34.0 0.077 0.077
   65     0.0    33.0 0.077 0.077
   67     0.0    32.0 0.077 0.077
   69     0.0    31.0 0.077 0.077
   71     0.0    30.0 0.077 0.077
   73     0.0    29.0 0.077 0.077
   75     0.0    28.0 0.077 0.077
   77     0.0    27.0 0.077 0.077
   79     0.0    26.0 0.077 0.077
   81     0.0    25.0 0.077 0.077
   83     0.0    24.0 0.077 0.077
   85     0.0    23.0 0.077 0.077
   87     0.0    22.0 0.077 0.077
   89     0.0    21.0 0.077 0.077
   91     0.0    20.0 0.077 0.077
   93     0.0    18.0 0.077 0.077
   95     0.0    16.0 0.077 0.077
   97     0.0    14.0 0.077 0.077
   99     0.0    12.0 0.077 0.077
  101     0.0    10.0 0.077 0.077
  103     0.0     8.0 0.077 0.077
  105     0.0     6.0 0.077 0.077
  107     0.0     4.0 0.077 0.077
  109     0.0     2.0 0.077 0.077
  111     0.0     0.0 0.077 0.077


 Time  ***     60.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1     0.0    61.0 0.350 0.350
    3     0.0    60.8 0.349 0.349
    5     0.0    60.5 0.346 0.346
    7     0.0    60.2 0.340 0.340
    9     0.0    60.0 0.332 0.332
   11     0.0    59.5 0.313 0.312
   13     0.0    59.0 0.292 0.289
   15     0.0    58.0 0.232 0.233
   17     0.0    57.0 0.133 0.146
   19     0.0    56.0 0.078 0.081
   21     0.0    55.0 0.077 0.077
   23     0.0    54.0 0.077 0.077
   25     0.0    53.0 0.077 0.077
   27     0.0    52.0 0.077 0.077
   29     0.0    51.0 0.077 0.077
   31     0.0    50.0 0.077 0.077
   33     0.0    49.0 0.077 0.077
   35     0.0    48.0 0.077 0.077
   37     0.0    47.0 0.077 0.077
