 Example 1 - Column Test                                                 

 Program SWMS_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = sec  , M = -    


 Time  ***     60.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1     0.0    61.0  0.49E-05  0.00E+00
    3     0.0    60.8  0.14E-04  0.65E-05
    5     0.0    60.5  0.26E-04  0.17E-04
    7     0.0    60.2  0.46E-04  0.32E-04
    9     0.0    60.0  0.97E-04  0.54E-04
   11     0.0    59.5  0.25E-03  0.13E-03
   13     0.0    59.0  0.19E-03  0.33E-03
   15     0.0    58.0 -0.59E-03 -0.13E-04
   17     0.0    57.0 -0.71E-04 -0.85E-04
   19     0.0    56.0 -0.19E-05 -0.36E-05
   21     0.0    55.0 -0.12E-07 -0.84E-06
   23     0.0    54.0 -0.65E-10 -0.60E-08
   25     0.0    53.0  0.00E+00 -0.32E-10
   27     0.0    52.0  0.00E+00  0.00E+00
   29     0.0    51.0  0.00E+00  0.00E+00
   31     0.0    50.0  0.00E+00  0.00E+00
   33     0.0    49.0  0.00E+00  0.00E+00
   35     0.0    48.0  0.00E+00  0.00E+00
   37     0.0    47.0  0.00E+00  0.00E+00
   39     0.0    46.0  0.00E+00  0.00E+00
   41     0.0    45.0  0.00E+00  0.00E+00
   43     0.0    44.0  0.00E+00  0.00E+00
   45     0.0    43.0  0.00E+00  0.00E+00
   47     0.0    42.0  0.00E+00  0.00E+00
   49     0.0    41.0  0.00E+00  0.00E+00
   51     0.0    40.0  0.00E+00  0.00E+00
   53     0.0    39.0  0.00E+00  0.00E+00
   55     0.0    38.0  0.00E+00  0.00E+00
   57     0.0    37.0  0.00E+00  0.00E+00
   59     0.0    36.0  0.00E+00  0.00E+00
   61     0.0    35.0  0.00E+00  0.00E+00
   63     0.0    34.0  0.00E+00  0.00E+00
   65     0.0    33.0  0.00E+00  0.00E+00
   67     0.0    32.0  0.00E+00  0.00E+00
   69     0.0    31.0  0.00E+00  0.00E+00
   71     0.0    30.0  0.00E+00  0.00E+00
   73     0.0    29.0  0.00E+00  0.00E+00
   75     0.0    28.0  0.00E+00  0.00E+00
   77     0.0    27.0  0.00E+00  0.00E+00
   79     0.0    26.0  0.00E+00  0.00E+00
   81     0.0    25.0  0.00E+00  0.00E+00
   83     0.0    24.0  0.00E+00  0.00E+00
